entry_date,side,predicted_win_probability,accepted,model_ready,training_sample_count,realized_label,realized_net_pnl_per_spread
2020-10-15,bull_put,0.5,1,0,0,0,-131.94
2020-10-19,bull_put,0.5,1,0,0,1,36.85
2020-10-20,bull_put,0.5,1,0,2,1,31.31
2020-10-21,bull_put,0.5,1,0,3,0,-57.88
2020-11-12,bull_put,0.5,1,0,5,1,312.64
2020-11-30,bull_put,0.5,1,0,7,1,234.9
2020-12-09,bull_put,0.5,1,0,9,0,-22.12
2020-12-14,bull_put,0.5,1,0,9,1,223.11
2021-01-04,bull_put,0.5,1,0,13,1,227.94
2021-01-13,bull_put,0.5,1,0,16,0,-89.56
2021-01-15,bull_put,0.5,1,0,16,1,231.01
2021-01-27,bull_put,0.5,1,0,18,1,77.9
2021-01-28,bull_put,0.5,1,0,18,0,-244.24
2021-02-18,bull_put,0.5,1,0,20,0,-79.94
2021-02-22,bull_put,0.5,1,0,20,1,15.92
2021-02-23,bull_put,0.5,1,0,22,0,-142.18
2021-02-25,bull_put,0.5,1,0,23,0,-46.13
2021-02-26,bull_put,0.5,1,0,24,1,150.59
2021-03-18,bull_put,0.5,1,0,26,0,-15.97
2021-03-19,bull_put,0.5,1,0,26,1,14.56
2021-03-24,bull_put,0.5,1,0,29,1,100.32
2021-03-25,bull_put,0.5,1,0,29,1,282.26
2021-04-20,bull_put,0.5,1,0,31,1,248.6
2021-05-04,bull_put,0.5,1,0,32,1,7.06
2021-05-05,bull_put,0.5,1,0,33,1,18.83
2021-05-11,bull_put,0.5,1,0,34,0,-258.2
2021-05-12,bull_put,0.5,1,0,35,1,108.18
2021-05-13,bull_put,0.5,1,0,36,1,80.22
2021-05-19,bull_put,0.5,1,0,38,1,240.96
2021-06-03,bull_put,0.5,1,0,39,1,244.21
2021-06-16,bull_put,0.7668,1,1,40,1,0.52
2021-06-17,bull_put,0.8137,1,1,41,0,-152.54
2021-07-08,bull_put,0.6942,1,1,43,1,116.89
2021-07-16,bull_put,0.8126,1,1,43,0,-176.86
2021-07-19,bull_put,0.8761,1,1,45,1,130.31
2021-07-20,bull_put,0.683,1,1,46,1,280.64
2021-08-02,bull_put,0.7053,1,1,48,1,284.68
2021-08-17,bull_put,0.9073,1,1,50,0,-132.4
2021-08-18,bull_put,0.7559,1,1,50,1,20.23
2021-08-19,bull_put,0.8121,1,1,51,1,277.51
2021-09-08,bull_put,0.6768,1,1,53,0,-45.36
2021-09-09,bull_put,0.7778,1,1,53,0,-89.14
2021-09-10,bull_put,0.7209,1,1,55,1,31.75
2021-09-13,bull_put,0.7023,1,1,56,0,-58.56
2021-09-14,bull_put,0.7946,1,1,57,1,88.64
2021-11-10,bull_put,0.4849,0,1,59,1,281.9
2021-11-11,bull_put,0.5504,0,1,59,1,292.61
2021-11-23,bull_put,0.6973,1,1,59,0,-252.6
2021-11-26,bull_put,0.93,1,1,61,1,128.13
2021-11-29,bull_put,0.6232,0,1,62,0,-267.07
2021-11-30,bull_put,0.857,1,1,63,0,-140.02
2021-12-02,bull_put,0.0809,0,1,65,0,-100.62
2021-12-13,bull_put,0.2772,0,1,66,0,-86.12
2021-12-14,bull_put,0.3601,0,1,66,0,-41.42
2021-12-30,bull_put,0.0929,0,1,68,0,-128.72
2021-12-31,bull_put,0.0804,0,1,68,0,-125.87
2022-01-05,bull_put,0.1728,0,1,68,0,-5.95
2022-01-06,bull_put,0.1091,0,1,70,0,-40.87
2022-01-07,bull_put,0.1156,0,1,71,0,-9.72
2022-01-10,bull_put,0.0846,0,1,72,1,98.47
2022-03-16,bear_call,0.0,0,1,74,0,-59.65
2022-05-16,bear_call,0.003,0,1,75,0,-66.31
2022-05-17,bear_call,0.0013,0,1,75,1,126.64
2022-05-23,bear_call,0.0036,0,1,76,1,3.61
2022-05-25,bear_call,0.0037,0,1,76,0,-68.32
2022-05-26,bear_call,0.2066,0,1,78,0,-83.27
2022-05-31,bear_call,0.1052,0,1,80,1,23.4
2022-06-22,bear_call,0.6023,0,1,81,0,-139.72
2022-06-23,bear_call,0.5086,0,1,81,0,-108.57
2022-06-24,bear_call,0.2048,0,1,81,1,12.33
2022-06-27,bear_call,0.0938,0,1,83,1,86.39
2022-07-08,bear_call,0.2733,0,1,85,1,41.98
2022-09-08,bear_call,0.287,0,1,86,0,-71.64
2022-10-04,bear_call,0.3174,0,1,87,1,9.62
2022-10-05,bear_call,0.3181,0,1,87,1,30.74
2022-10-19,bear_call,0.4416,0,1,89,0,-50.29
2022-10-24,bear_call,0.4053,0,1,90,0,-55.33
2022-10-26,bear_call,0.3407,0,1,91,1,20.1
2023-02-09,bull_put,0.352,0,1,92,1,26.44
2023-02-10,bull_put,0.3274,0,1,92,1,71.6
2023-02-16,bull_put,0.4199,0,1,93,0,-1.73
2023-02-17,bull_put,0.5033,0,1,94,0,-276.22
2023-02-21,bull_put,0.4502,0,1,95,0,-11.13
2023-02-22,bull_put,0.3659,0,1,96,1,50.27
2023-02-23,bull_put,0.3642,0,1,97,0,-110.6
2023-03-08,bull_put,0.3953,0,1,99,0,-220.97
2023-04-05,bull_put,0.3455,0,1,100,1,286.26
2023-04-06,bull_put,0.3171,0,1,100,1,283.02
2023-04-12,bull_put,0.3542,0,1,100,1,141.01
2023-04-20,bull_put,0.4759,0,1,101,0,-126.98
2023-04-21,bull_put,0.485,0,1,101,0,-163.94
2023-04-24,bull_put,0.5505,0,1,102,0,-190.11
2023-04-25,bull_put,0.4682,0,1,102,0,-42.26
2023-04-26,bull_put,0.3889,0,1,106,1,183.8
2023-05-03,bull_put,0.3537,0,1,108,0,-76.73
2023-05-04,bull_put,0.3715,0,1,108,1,254.96
2023-05-16,bull_put,0.4461,0,1,110,1,166.14
2023-05-23,bull_put,0.3586,0,1,110,0,-80.81
2023-05-24,bull_put,0.3733,0,1,111,1,264.95
2023-05-25,bull_put,0.5147,0,1,112,1,280.99
2023-06-07,bull_put,0.486,0,1,114,1,257.23
2023-06-21,bull_put,0.4218,0,1,115,0,-24.41
2023-06-22,bull_put,0.5155,0,1,115,0,-85.69
2023-06-23,bull_put,0.5053,0,1,115,0,-42.74
2023-06-26,bull_put,0.4801,0,1,117,1,254.28
2023-07-06,bull_put,0.4262,0,1,119,0,-24.33
2023-07-07,bull_put,0.3865,0,1,119,1,267.57
2023-07-10,bull_put,0.4965,0,1,120,1,271.41
2023-07-21,bull_put,0.532,0,1,122,1,124.34
2023-07-27,bull_put,0.5092,0,1,122,1,4.26
2023-08-02,bull_put,0.4311,0,1,122,0,-29.3
2023-08-03,bull_put,0.4128,0,1,124,0,-50.54
2023-08-04,bull_put,0.4145,0,1,125,1,95.73
2023-08-10,bull_put,0.4302,0,1,127,0,-2.32
2023-08-11,bull_put,0.405,0,1,127,1,64.52
2023-09-05,bull_put,0.5039,0,1,129,0,-76.2
2023-11-09,bull_put,0.5084,0,1,130,1,288.28
2023-11-29,bull_put,0.3817,0,1,131,1,298.71
2023-12-06,bull_put,0.349,0,1,131,1,319.61
2024-01-02,bull_put,0.4329,0,1,133,0,-104.23
2024-01-03,bull_put,0.4023,0,1,133,0,-35.11
2024-01-04,bull_put,0.361,0,1,134,1,21.14
2024-01-05,bull_put,0.4069,0,1,135,1,232.94
2024-01-16,bull_put,0.4273,0,1,136,0,-67.06
2024-01-17,bull_put,0.4008,0,1,136,1,300.71
2024-01-31,bull_put,0.5018,0,1,139,1,340.88
2024-02-13,bull_put,0.4029,0,1,140,1,135.89
2024-02-14,bull_put,0.5079,0,1,140,1,0.12
2024-02-20,bull_put,0.4872,0,1,140,1,339.45
2024-02-21,bull_put,0.3517,0,1,142,1,309.62
2024-02-28,bull_put,0.4187,0,1,142,1,376.79
2024-03-06,bull_put,0.5502,0,1,144,1,201.96
2024-03-15,bull_put,0.3873,0,1,145,1,323.95
2024-03-26,bull_put,0.4319,0,1,146,1,77.71
2024-04-02,bull_put,0.4979,0,1,147,1,19.94
2024-04-03,bull_put,0.5771,0,1,148,0,-178.85
2024-04-04,bull_put,0.5447,0,1,149,1,102.69
2024-04-10,bull_put,0.5354,0,1,150,0,-63.52
2024-04-12,bull_put,0.5424,0,1,151,0,-184.03
2024-05-23,bull_put,0.5021,0,1,153,1,55.06
2024-05-24,bull_put,0.5988,0,1,153,0,-66.27
2024-05-30,bull_put,0.4275,0,1,155,1,333.04
2024-05-31,bull_put,0.5271,0,1,155,1,342.28
2024-06-21,bull_put,0.6795,1,1,157,1,402.98
2024-07-17,bull_put,0.7238,1,1,159,0,-117.18
2024-07-18,bull_put,0.6233,0,1,159,0,-93.52
2024-07-19,bull_put,0.4989,0,1,160,1,136.96
2024-07-24,bull_put,0.435,0,1,162,0,-68.93
2024-07-26,bull_put,0.3812,0,1,163,1,14.12
2024-08-22,bull_put,0.6536,1,1,164,1,219.28
2024-09-03,bull_put,0.4332,0,1,164,0,-22.14
2024-09-04,bull_put,0.4238,0,1,167,0,-26.62
2024-09-05,bull_put,0.2994,0,1,168,0,-281.45
2024-09-18,bull_put,0.5146,0,1,170,1,365.71
2024-10-01,bull_put,0.516,0,1,171,1,9.86
2024-10-02,bull_put,0.5486,0,1,171,0,-21.81
2024-10-03,bull_put,0.444,0,1,171,1,30.16
2024-10-17,bull_put,0.6556,1,1,174,0,-37.4
2024-10-23,bull_put,0.5037,0,1,174,1,37.62
2024-10-24,bull_put,0.5382,0,1,175,1,1.12
2024-10-25,bull_put,0.5335,0,1,176,1,81.91
2024-10-31,bull_put,0.3798,0,1,178,1,63.87
2024-11-01,bull_put,0.44,0,1,178,0,-26.77
2024-11-04,bull_put,0.4643,0,1,179,1,380.08
2024-11-13,bull_put,0.5831,0,1,181,0,-328.43
2024-11-14,bull_put,0.5963,0,1,181,0,-215.2
2024-11-15,bull_put,0.5453,0,1,181,1,66.48
2024-11-18,bull_put,0.5025,0,1,183,1,368.14
2024-11-19,bull_put,0.5189,0,1,184,1,387.98
2024-12-09,bull_put,0.6427,0,1,186,0,-43.22
2024-12-10,bull_put,0.6103,0,1,186,1,157.4
2024-12-20,bull_put,0.4315,0,1,188,1,92.59
2025-01-27,bull_put,0.5162,0,1,189,1,81.8
2025-01-28,bull_put,0.5559,0,1,189,0,-109.39
2025-01-29,bull_put,0.5423,0,1,189,0,-51.06
2025-01-31,bull_put,0.5036,0,1,189,0,-103.79
2025-02-03,bull_put,0.414,0,1,189,1,160.01
2025-02-04,bull_put,0.4067,0,1,193,1,33.91
2025-02-21,bull_put,0.4918,0,1,195,0,-69.63
2025-07-15,bull_put,0.5385,0,1,196,1,419.14
2025-07-30,bull_put,0.6281,0,1,197,0,-59.08
2025-07-31,bull_put,0.6034,0,1,197,0,-307.72
2025-08-01,bull_put,0.5288,0,1,198,1,178.9
2025-08-18,bull_put,0.476,0,1,200,0,-112.35
2025-08-19,bull_put,0.4906,0,1,200,0,-39.0
2025-08-20,bull_put,0.4976,0,1,200,0,-62.4
2025-08-21,bull_put,0.4515,0,1,202,1,314.85
2025-09-02,bull_put,0.4597,0,1,203,1,462.46
2025-09-03,bull_put,0.4913,0,1,204,1,419.68
2025-09-24,bull_put,0.5992,0,1,206,0,-75.62
2025-09-25,bull_put,0.4873,0,1,206,1,435.49
2025-10-10,bull_put,0.4795,0,1,208,1,224.41
2025-10-13,bull_put,0.4952,0,1,208,0,-13.55
2025-10-14,bull_put,0.4961,0,1,209,0,-5.35
2025-10-16,bull_put,0.4641,0,1,210,1,452.95
2025-10-30,bull_put,0.4255,0,1,212,0,-58.32
2025-10-31,bull_put,0.4363,0,1,212,0,-164.53
2025-11-03,bull_put,0.4507,0,1,212,0,-232.65
2025-11-04,bull_put,0.4619,0,1,212,1,67.65
2025-11-05,bull_put,0.4053,0,1,215,0,-202.33
2025-11-06,bull_put,0.3716,0,1,216,1,25.89
2025-11-07,bull_put,0.4533,0,1,217,1,131.59
2025-11-13,bull_put,0.3806,0,1,218,1,5.19
2025-11-14,bull_put,0.3673,0,1,219,0,-175.55
2025-12-09,bull_put,0.4581,0,1,221,1,35.02
2025-12-15,bull_put,0.448,0,1,222,0,-41.39
2025-12-16,bull_put,0.4215,0,1,222,0,-215.31
2025-12-18,bull_put,0.4569,0,1,224,1,434.9
2025-12-30,bull_put,0.4349,0,1,224,0,-133.99
2025-12-31,bull_put,0.4771,0,1,225,1,40.32
2026-01-02,bull_put,0.5314,0,1,226,1,412.88
2026-01-14,bull_put,0.4954,0,1,227,0,-347.54
2026-01-15,bull_put,0.5413,0,1,228,0,-449.23
2026-01-16,bull_put,0.5947,0,1,228,0,-445.74
2026-01-21,bull_put,0.4648,0,1,231,1,449.17
2026-01-30,bull_put,0.3495,0,1,231,0,-27.5
2026-02-03,bull_put,0.5125,0,1,232,0,-84.39
2026-02-04,bull_put,0.5021,0,1,233,0,-253.01
