candidate_index,symbol,family,signal,objective_score,total_return_pct,cagr_pct,monthly_mean_return_pct,max_drawdown_pct,sharpe,trade_count,params_json
6880,SPY,bull_put_credit_spread,bull_mean_reversion,31.4445,161.46,16.63,1.32,-10.35,2.302,182,"{""bull_rsi_threshold"": 40.0, ""candidate_index"": 6880, ""entry_slippage_pct"": 0.03, ""exit_dte"": 3, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.0, ""max_iv"": 0.45, ""max_rv"": 0.45, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.45, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
6881,SPY,bull_put_credit_spread,bull_mean_reversion,31.4445,161.46,16.63,1.32,-10.35,2.302,182,"{""bull_rsi_threshold"": 40.0, ""candidate_index"": 6881, ""entry_slippage_pct"": 0.03, ""exit_dte"": 3, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.0, ""max_iv"": 0.45, ""max_rv"": 0.45, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.6, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
6900,SPY,bull_put_credit_spread,bull_mean_reversion,31.4445,161.46,16.63,1.32,-10.35,2.302,182,"{""bull_rsi_threshold"": 40.0, ""candidate_index"": 6900, ""entry_slippage_pct"": 0.03, ""exit_dte"": 3, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.0, ""max_iv"": 0.45, ""max_rv"": 0.6, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.45, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
6901,SPY,bull_put_credit_spread,bull_mean_reversion,31.4445,161.46,16.63,1.32,-10.35,2.302,182,"{""bull_rsi_threshold"": 40.0, ""candidate_index"": 6901, ""entry_slippage_pct"": 0.03, ""exit_dte"": 3, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.0, ""max_iv"": 0.45, ""max_rv"": 0.6, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.6, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
7360,SPY,bull_put_credit_spread,bull_mean_reversion,31.4445,161.46,16.63,1.32,-10.35,2.302,182,"{""bull_rsi_threshold"": 40.0, ""candidate_index"": 7360, ""entry_slippage_pct"": 0.03, ""exit_dte"": 3, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.0, ""max_iv"": 0.7, ""max_rv"": 0.45, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.45, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
7361,SPY,bull_put_credit_spread,bull_mean_reversion,31.4445,161.46,16.63,1.32,-10.35,2.302,182,"{""bull_rsi_threshold"": 40.0, ""candidate_index"": 7361, ""entry_slippage_pct"": 0.03, ""exit_dte"": 3, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.0, ""max_iv"": 0.7, ""max_rv"": 0.45, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.6, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
7380,SPY,bull_put_credit_spread,bull_mean_reversion,31.4445,161.46,16.63,1.32,-10.35,2.302,182,"{""bull_rsi_threshold"": 40.0, ""candidate_index"": 7380, ""entry_slippage_pct"": 0.03, ""exit_dte"": 3, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.0, ""max_iv"": 0.7, ""max_rv"": 0.6, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.45, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
7381,SPY,bull_put_credit_spread,bull_mean_reversion,31.4445,161.46,16.63,1.32,-10.35,2.302,182,"{""bull_rsi_threshold"": 40.0, ""candidate_index"": 7381, ""entry_slippage_pct"": 0.03, ""exit_dte"": 3, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.0, ""max_iv"": 0.7, ""max_rv"": 0.6, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.6, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
4880,SPY,bull_put_credit_spread,bull_mean_reversion,31.6965,149.39,15.76,1.25,-8.07,2.321,161,"{""bull_rsi_threshold"": 35.0, ""candidate_index"": 4880, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.3, ""max_iv"": 0.45, ""max_rv"": 0.45, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.45, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
4881,SPY,bull_put_credit_spread,bull_mean_reversion,31.6965,149.39,15.76,1.25,-8.07,2.321,161,"{""bull_rsi_threshold"": 35.0, ""candidate_index"": 4881, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.3, ""max_iv"": 0.45, ""max_rv"": 0.45, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.6, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
4900,SPY,bull_put_credit_spread,bull_mean_reversion,31.6965,149.39,15.76,1.25,-8.07,2.321,161,"{""bull_rsi_threshold"": 35.0, ""candidate_index"": 4900, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.3, ""max_iv"": 0.45, ""max_rv"": 0.6, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.45, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
4901,SPY,bull_put_credit_spread,bull_mean_reversion,31.6965,149.39,15.76,1.25,-8.07,2.321,161,"{""bull_rsi_threshold"": 35.0, ""candidate_index"": 4901, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.3, ""max_iv"": 0.45, ""max_rv"": 0.6, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.6, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
5360,SPY,bull_put_credit_spread,bull_mean_reversion,31.6965,149.39,15.76,1.25,-8.07,2.321,161,"{""bull_rsi_threshold"": 35.0, ""candidate_index"": 5360, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.3, ""max_iv"": 0.7, ""max_rv"": 0.45, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.45, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
5361,SPY,bull_put_credit_spread,bull_mean_reversion,31.6965,149.39,15.76,1.25,-8.07,2.321,161,"{""bull_rsi_threshold"": 35.0, ""candidate_index"": 5361, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.3, ""max_iv"": 0.7, ""max_rv"": 0.45, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.6, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
5380,SPY,bull_put_credit_spread,bull_mean_reversion,31.6965,149.39,15.76,1.25,-8.07,2.321,161,"{""bull_rsi_threshold"": 35.0, ""candidate_index"": 5380, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.3, ""max_iv"": 0.7, ""max_rv"": 0.6, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.45, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
5381,SPY,bull_put_credit_spread,bull_mean_reversion,31.6965,149.39,15.76,1.25,-8.07,2.321,161,"{""bull_rsi_threshold"": 35.0, ""candidate_index"": 5381, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.3, ""max_iv"": 0.7, ""max_rv"": 0.6, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.6, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
2960,SPY,bull_put_credit_spread,bull_mean_reversion,31.6715,148.14,15.66,1.25,-7.85,2.318,161,"{""bull_rsi_threshold"": 35.0, ""candidate_index"": 2960, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.15, ""max_iv"": 0.45, ""max_rv"": 0.45, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.45, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
2961,SPY,bull_put_credit_spread,bull_mean_reversion,31.6715,148.14,15.66,1.25,-7.85,2.318,161,"{""bull_rsi_threshold"": 35.0, ""candidate_index"": 2961, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.15, ""max_iv"": 0.45, ""max_rv"": 0.45, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.6, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
2980,SPY,bull_put_credit_spread,bull_mean_reversion,31.6715,148.14,15.66,1.25,-7.85,2.318,161,"{""bull_rsi_threshold"": 35.0, ""candidate_index"": 2980, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.15, ""max_iv"": 0.45, ""max_rv"": 0.6, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.45, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
2981,SPY,bull_put_credit_spread,bull_mean_reversion,31.6715,148.14,15.66,1.25,-7.85,2.318,161,"{""bull_rsi_threshold"": 35.0, ""candidate_index"": 2981, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.15, ""max_iv"": 0.45, ""max_rv"": 0.6, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.6, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
3440,SPY,bull_put_credit_spread,bull_mean_reversion,31.6715,148.14,15.66,1.25,-7.85,2.318,161,"{""bull_rsi_threshold"": 35.0, ""candidate_index"": 3440, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.15, ""max_iv"": 0.7, ""max_rv"": 0.45, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.45, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
3441,SPY,bull_put_credit_spread,bull_mean_reversion,31.6715,148.14,15.66,1.25,-7.85,2.318,161,"{""bull_rsi_threshold"": 35.0, ""candidate_index"": 3441, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.15, ""max_iv"": 0.7, ""max_rv"": 0.45, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.6, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
3460,SPY,bull_put_credit_spread,bull_mean_reversion,31.6715,148.14,15.66,1.25,-7.85,2.318,161,"{""bull_rsi_threshold"": 35.0, ""candidate_index"": 3460, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.15, ""max_iv"": 0.7, ""max_rv"": 0.6, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.45, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
3461,SPY,bull_put_credit_spread,bull_mean_reversion,31.6715,148.14,15.66,1.25,-7.85,2.318,161,"{""bull_rsi_threshold"": 35.0, ""candidate_index"": 3461, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.15, ""max_iv"": 0.7, ""max_rv"": 0.6, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.6, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
1040,SPY,bull_put_credit_spread,bull_mean_reversion,31.6115,148.39,15.68,1.25,-8.01,2.317,161,"{""bull_rsi_threshold"": 35.0, ""candidate_index"": 1040, ""entry_slippage_pct"": 0.03, ""exit_dte"": 1, ""exit_slippage_pct"": 0.03, ""family"": ""bull_put_credit_spread"", ""initial_capital"": 100000.0, ""iv_multiplier"": 1.0, ""max_iv"": 0.45, ""max_rv"": 0.45, ""min_iv"": 0.25, ""min_rv"": 0.0, ""option_dte"": 7, ""per_contract_fee"": 1.0, ""put_long_pct"": 0.94, ""put_short_pct"": 0.98, ""risk_fraction"": 0.15, ""risk_free_rate"": 0.04, ""rsi_window"": 3, ""signal"": ""bull_mean_reversion"", ""stop_loss"": 0.45, ""symbol"": ""SPY"", ""take_profit"": 0.2}"
